place,name,dist_km,lat,lon,osm_type,osm_id
neighbourhood,Cartier Broșteni,99.2,45.1544781,26.8304466,way,1241334618
neighbourhood,Cartier CFR,74.5,44.917625,25.4605349,way,1147862870
neighbourhood,Cartier Constituției,99.0,45.1608997,26.8123878,way,1241334627
neighbourhood,Cartier Crâng,97.6,45.1531599,26.7958081,way,1241334614
neighbourhood,Cartier Democrației,98.3,45.1534728,26.8125156,way,1241334628
neighbourhood,Cartier Dorobanți,99.6,45.1526646,26.8429007,way,1241334619
neighbourhood,Cartier Episcopiei,99.3,45.1589063,26.8229813,way,1241334625
neighbourhood,Cartier Horticolei,99.4,45.1462743,26.8505302,way,1241334620
neighbourhood,Cartier Mihai Viteazul,98.0,45.1384111,26.8348605,way,1241334617
neighbourhood,Cartier Nicolae Bălcescu,97.6,45.1477832,26.806925,way,1241334613
neighbourhood,Cartier Nicolae Titulescu,98.0,45.154347,26.8033584,way,1241334630
neighbourhood,Cartier Orizont,99.7,45.1676073,26.813301,way,1116543954
neighbourhood,Cartier Poștă,97.3,45.1399404,26.8171136,way,1241334615
neighbourhood,Cartier Rezidențial Byzantium,98.5,45.1961149,26.7204006,way,1256782475
neighbourhood,Cartier Simileasca,98.3,45.1674422,26.7834457,way,1241334626
neighbourhood,Cartier Transilvaniei,98.4,45.1605293,26.7997947,way,1241334629
neighbourhood,Cartier Unirii,97.6,45.1461726,26.8109365,way,1241334624
neighbourhood,Cartier Zona Centrală,98.7,45.1533879,26.821428,way,1241334622
neighbourhood,Cartier rezidențial Class,8.0,44.4964068,26.1275472,way,406596580
neighbourhood,Cartierul Armenesc,1.6,44.4396409,26.1126107,way,1420710750
neighbourhood,Cartierul Azur,8.4,44.4964188,26.1444915,way,242421093
neighbourhood,Cartierul Danubiana,10.2,44.3641926,26.196717,way,208866257
neighbourhood,Cartierul Fabricii de Zahăr,60.0,43.8946112,25.9779326,node,13088510074
neighbourhood,Cartierul Gării,98.3,45.1459954,26.8266017,way,1241334616
neighbourhood,Cartierul Independenței,98.0,45.1473729,26.8170465,way,1241334623
neighbourhood,Cartierul Latin,9.1,44.4055618,25.9915847,way,242386295
neighbourhood,Cartierul Suseni,76.7,44.9375907,25.4507464,node,12089001184
neighbourhood,Cartierul Verde,7.5,44.3876349,26.0255497,way,297639597
neighbourhood,Centru,57.6,44.9417222,26.0222691,way,885324765
neighbourhood,Chitila,8.7,44.4830091,26.0254217,way,240570776
neighbourhood,Chitila - Triaj,9.7,44.487104,26.0143664,way,1309603407
neighbourhood,Citadel Tunari 2,13.8,44.5497398,26.1286339,way,844378889
neighbourhood,City Center Residence,1.0,44.4204183,26.0937445,way,233515699
neighbourhood,Citylights Pipera,8.3,44.4909387,26.1559791,way,238363272
neighbourhood,Colinele,60.2,44.6618349,26.7865783,node,11067241479
neighbourhood,Colțea,0.9,44.4345829,26.1025427,node,12185221855
neighbourhood,Complex Rafael,9.8,44.5138728,26.1170462,way,580880670
neighbourhood,Confort City,9.0,44.3890227,26.2028896,way,78641955
neighbourhood,Coralilor Residence 31B,8.1,44.4921175,26.0581421,way,1209502362
neighbourhood,Corneliu Coposu,1.0,44.4325279,26.1115398,node,12185181420
neighbourhood,Cotoiu,71.3,45.0421586,25.8473932,node,2351852639
neighbourhood,Căuzași,0.6,44.4274543,26.1103916,node,12185207193
neighbourhood,Dealul Mitropoliei,0.4,44.424742,26.0990874,node,12185188058
neighbourhood,Dealul Spirii,1.5,44.4261669,26.0840977,node,8867960069
neighbourhood,Decebal,0.4,44.4304055,26.105013,node,12184894043
neighbourhood,Delfinului,4.8,44.4438391,26.1576055,node,13518983754
neighbourhood,Democraţiei,56.7,44.9339525,26.03225,way,885084426
neighbourhood,Diamond Residence,10.6,44.5182094,26.1400725,way,437094678
neighbourhood,Dițești,68.2,44.979012,25.727893,way,248639148
neighbourhood,Doi Brazi - Piața Bărăției,76.3,44.933633,25.4528756,way,1305254296
neighbourhood,Domus Confort Residence,8.0,44.4922272,26.1454441,way,210215119
neighbourhood,Draculești,80.8,45.1363104,26.3224724,node,11165632107
neighbourhood,Dunărea,66.1,44.156656,26.8418591,node,11067241472
neighbourhood,Dămăroaia,8.2,44.4900483,26.0498079,way,596528297
neighbourhood,Eden,60.0,44.9629734,26.0120499,way,882534384
neighbourhood,Eroii Revoluției,2.6,44.4041066,26.0953454,node,2483013832
neighbourhood,Eroilor,56.0,44.9259042,26.0076363,way,879447511
neighbourhood,Family Residence,6.9,44.3655874,26.1169388,way,442867216
neighbourhood,Felicity Residential,11.5,44.524564,26.0566636,way,239277573
neighbourhood,Ferdinand,2.9,44.4437255,26.129558,node,10100638854
neighbourhood,Foișorul de Foc,2.1,44.440243,26.1209646,node,13154924639
neighbourhood,Frumușica,54.5,44.6184666,26.7355359,node,10951681160
neighbourhood,Gama Residence 3,6.3,44.3821356,26.1520365,way,242415027
neighbourhood,Gamma-Delta,9.5,44.5119055,26.115748,way,310740969
neighbourhood,Gheorghe Doja,58.4,44.9484974,26.0171772,way,882942015
neighbourhood,Gheorghe Grigore Cantacuzino,57.3,44.9382736,26.0125295,way,879816249
neighbourhood,Ghimpați,90.3,44.5477798,27.2277962,node,11030237795
neighbourhood,Gramont,1.0,44.4211593,26.0929695,node,12271498242
neighbourhood,Gran Residencia Otopeni,13.4,44.5459935,26.0777542,way,242422424
neighbourhood,Grand Residence,6.8,44.4871701,26.0904419,way,230254561
neighbourhood,Grand'Or,14.3,44.5555236,26.0970086,way,585117194
neighbourhood,Green City,17.0,44.2778388,26.0532168,way,242416458
neighbourhood,Green Lake Residences,8.8,44.4986378,26.0557194,way,242467499
neighbourhood,Găgeni,59.1,44.9550159,26.0144957,way,882592736
neighbourhood,Hydra Residence,9.8,44.4959867,26.1797382,relation,8004472
neighbourhood,Hârlești,72.7,44.2904631,25.2084782,node,11067241480
neighbourhood,Ibiza Golf Residence - Corp B,11.8,44.5276041,26.1472306,way,267328953
neighbourhood,Ienăchiță Văcărescu,57.7,44.9404052,25.9970738,way,785104911
neighbourhood,Ion Creangă,6.9,44.4719231,26.1626649,way,230438279
neighbourhood,Izvoarele,76.8,44.1414683,25.2236056,node,11067241455
neighbourhood,Jasmine Garden,8.5,44.4966347,26.1470812,way,983806424
neighbourhood,Jupiter Residence,4.7,44.3908561,26.1326045,way,430119199
neighbourhood,Lake Side Park Pipera,8.3,44.4989411,26.1308158,way,406973233
neighbourhood,Lipscanii Noi,0.9,44.4330541,26.0951298,node,12185026062
neighbourhood,Liziera Residences,11.1,44.5221429,26.1446906,way,238360835
neighbourhood,Lucaci,1.1,44.4310441,26.1148161,node,12187279834
neighbourhood,Lupeni,56.4,44.9324704,26.0408746,way,881165234
neighbourhood,Malu Roșu,58.2,44.9448498,25.998681,way,880006564
neighbourhood,Matei Basarab,77.0,44.9367191,25.4438321,way,1147867797
neighbourhood,Mediteraneo Residence,8.2,44.4955383,26.140314,way,242421188
neighbourhood,Melbourne Residence - Tunari,14.1,44.5530357,26.1126802,way,375844468
neighbourhood,Mereni,48.9,44.6581701,25.5777578,node,448215077
neighbourhood,Metropolitan Residence,6.3,44.3843139,26.1550538,way,307453066
neighbourhood,Mihai Bravu,57.2,44.9392773,26.0400042,way,881483666
neighbourhood,Mihai Eminescu,10.2,44.3801565,25.9924953,node,12864754435
neighbourhood,Militari Residence,9.4,44.4454237,25.986974,node,12122111428
neighbourhood,Mimiu,54.9,44.9165982,26.0188938,way,880428417
neighbourhood,Mircești,35.6,44.6812064,26.3743978,node,11067241478
neighbourhood,Moșilor,2.3,44.4435815,26.1192856,node,13545755763
neighbourhood,Mântuleasa,1.4,44.4357014,26.1150832,way,1358990285
neighbourhood,Mărășești,56.7,44.9321834,26.0086031,way,879473237
neighbourhood,Natura Residence,9.7,44.5139211,26.1022078,way,238327137
neighbourhood,Națiunile Unite,0.5,44.4286948,26.0961561,way,232360094
neighbourhood,Negustori,0.9,44.4338367,26.1083919,node,12187279832
neighbourhood,Nord,59.7,44.9586692,26.0025761,way,882163026
neighbourhood,Nordia Residence,8.8,44.49982,26.0605021,way,242466049
neighbourhood,NorthLight Residence,13.3,44.5343677,26.174759,way,922447223
neighbourhood,Nucești,46.0,44.6007778,25.5757629,node,11067241474
neighbourhood,One Floreasca Lake,5.6,44.4770988,26.0955547,way,239429322
neighbourhood,Panduri,55.5,44.6159089,26.7502684,node,10951681158
neighbourhood,Paradisul Verde,21.2,44.6028999,26.0016595,way,870664183
neighbourhood,Pelinu,50.4,44.6299924,26.6714169,node,11067241477
neighbourhood,Peneș Curcanul,57.1,44.9345247,25.9979936,way,785104910
neighbourhood,Perla Residence,8.0,44.494985,26.1354227,way,133014120
neighbourhood,Pescarii,34.8,44.7345488,26.1820391,node,11067241473
neighbourhood,Petrolul,54.4,44.9138081,26.0433766,way,881050279
neighbourhood,Pictor Rosenthal,56.3,44.931804,26.0504989,way,881138579
