metric,current,baseline,delta
day,3,-,-
date,2026-03-16,2026-03-14,-
owner_share (%),13.6,38.6,-25.0
owner_impressions,61,223,-162
homepage_impressions,388,354,-
owner_clicks,1,3,-2
owner_ctr (%),1.64,0.013,-
owner_position,14.1,12.8,-
verdict,critical,-,-
alert,CRITICAL: owner_share = 13.6% (below 30% threshold),-,-
alert,WARNING: Clicks dropped 66.7% (baseline 3 → current 1),-,-
