Data,Neindexate,Indexate,Expuneri
2026-03-01,,,129
2026-03-02,,,137
2026-03-03,18,10,115
2026-03-04,264,573,121
2026-03-05,264,573,194
2026-03-06,264,573,186
2026-03-07,264,573,213
2026-03-08,256,795,225
2026-03-09,256,795,517
2026-03-10,256,795,418
2026-03-11,273,787,354
2026-03-12,273,787,338
2026-03-13,273,787,282
2026-03-14,273,787,274
2026-03-15,273,787,288
2026-03-16,321,791,499
2026-03-17,321,791,355
